ลำดับที่,วันที่ประเมิน,ชื่อหอพัก,โซน,มาตรฐานที่ต้องมี,มาตรฐานเพิ่มเติม,ผลการประเมิน,หมายเหตุ,ละติจูด,ลองจิจูด,ราคาหอพัก,ค่าน้ำ/ต่อหน่วย/เหมาจ่าย,ค่าไฟ/ต่อหน่วย,ค่ามัดจำ,สัญญาขั้นต่ำ,หอพักชาย / หอพักหญิง / หอพักรวม,ห้องพัดลม / ห้องแอร์,เครื่องทำน้ำอุ่น,ตู้เย็น,ตู้เสื้อผ้า,เตียง,โต๊ะเขียนหนังสือ,Wi-Fi ฟรี,ลิฟต์,ส่วนกลาง,เครื่องซักผ้าหยอดเหรียญ,ที่จอดรถยนต์/มอเตอร์,คีย์การ์ด,กล้อง CCTV,รปภ.,เบอร์โทรศัพท์ติดต่อ,Line ID,Facebook ,การเลี้ยงสัตว์,การประกอบอาหาร,เวลาเปิด–ปิดประตูหอ,อยู่ใกล้ถนนใหญ่,ร้านเหล้า,เงียบสงบ / ปานกลาง / พลุกพล่าน),7-Eleven,Lotus's go fresh,Big c mini,ตลาดบังเอิญ,ร้านอาหารศูนย์อาหารมีเจริญ,อยู่ในพื้นที่ลุ่มต่ำหรือมีความเสี่ยงน้ำท่วมขังช่วงหน้าฝนหรือไม่
1,5-พ.ค.-69,บ้านชมดาว 1,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,"15.112977,",104.90372,3000,150 เหมาจ่าย,8,3000,6 เดือน,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,081-390-3844,081-390-3844,หอพักชมดาว ใกล้ ม.อุบลราชธานี,ไม่ได้,ได้,05.00-22.00 น., ถนนสถลมาร์ค,ไกล,เงียบสงบ,500 เมตร,4.1 กิโลเมตร,1 กิโลเมตร,1.9 กิโลเมตร,2.2 กิโลเมตร,ไม่เสี่ยง
2,5-พ.ค.-69,บ้านชมดาว 2,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.111705,104.912882,3000-3500,150 เหมาจ่าย,8,3000,6 เดือน,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,081-390-3844,081-390-3844,หอพักชมดาว2 ใกล้ มี.อุบลราชธานี,ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,2.4 กิโลเมตร,4.8 กิโลเมตร,1 กิโลเมตร,2.5 กิโลเมตร,2.9 กิโลเมตร,ไม่เสี่ยง
3,5-พ.ค.-69,บัวเขียว,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.112939,104.903639,2500,150 เหมาจ่าย,8,5000,6 เดือน,หอพักรวม,ห้องพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,089-580-6752 ,089-580-6752 ,บัวเขียว,ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,500 เมตร,4.1 กิโลเมตร,1 กิโลเมตร,1.9 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
4,5-พ.ค.-69,บัวหลวง,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.113056,104.904748,2500-3000,150 เหมาจ่าย,8,3000,6 เดือน,หอพักรวม,ห้องพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,"095-605-3346, 091-016-6981", @115ilveo,"หอพัก บัวหลวงวิลเลจ Bualuang Village ใกล้
ม.อุบลราชธานี",ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,950 เมตร,4.3 กิโลเมตร,1.2 กิโลเมตร,2.1 กิโลเมตร,2.5 กิโลเมตร,ไม่เสี่ยง
5,5-พ.ค.-69,บอส,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.114224,104.912586,3000-3650,150 เหมาจ่าย,8,3000-3650,6 เดือน,หอพักรวม,หัองพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,มี,ไม่มี,มี,มี,มี,มี,มี,081-966-2395,081-966-2395,Boss Residence ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,2 กิโลเมตร,5.4 กิโลเมตร,1.5 กิโลเมตร,3.1 กิโลเมตร,3.5 กิโลเมตร,ไม่เสี่ยง
6,5-พ.ค.-69,ท้อปวัน,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.116511,104.914343,3000-3500,20,8,3000,6 เดือน,หอพักรวม,ห้องพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,มี,ไม่มี,มี,มี,มี,มี,มี,091-832-8815,091-832-8815,หอพัก Top One ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,2 กิโลเมตร,5.4 กิโลเมตร,1.8 กิโลเมตร,3.3 กิโลเมตร,3.8 กิโลเมตร,ไม่เสี่ยง
7,5-พ.ค.-69,หอพักชัยสงวน,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.112924,104.911575,1400-3000,100,7,1500-2000,6 เดือน,หอพักรวม,ห้องพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,มี,มี,มี,มี,มี,มี,ไม่มี,087-068-8565,@577wmvpm,ชัยสงวนแมนชั่น ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,ถนนสกลมาร์ค,ไกล,เงียบสงบ,2.2 กิโลเมตร,4.5 กิโลเมตร,1.1 กิโลเมตร,2.6 กิโลเมตร,3 กิโลเมตร,ไม่เสี่ยง
8,5-พ.ค.-69,หอพักพิมพ์ลภัส,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.113211,104.911926,"2,500 – 3,200",20,8,"2,000 – 3,000",6 เดือน,หอพักรวม,ห้องพัดลม/ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,081-966-6685,ไม่มีข้อมูล,หอพัก พิมพ์นภัส ใกล้ ม.อุบลฯ ประตู 3 ราคาถูก สะอาด,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,2.6 กิโลเมตร,5 กิโลเมตร,1.2 กิโลเมตร,2.8 กิโลเมตร,3.2 กิโลเมตร,ไม่เสี่ยง
9,5-พ.ค.-69,หอพักโกล์เดนชาน,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.117044,104.912919,4600-5200,25,8,6000,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,มี,ไม่มี,มี,มี,200,มี,ไม่มี,094-653-9456,094-653-9456,โกล์เดนซาน ม.อุบลราชธานี,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,2.9 กิโลเมตร,5.3 กิโลเมตร,1.6 กิโลเมตร,2.9 กิโลเมตร,3.4 กิโลเมตร,ไม่เสี่ยง
10,5-พ.ค.-69,หอพักสุขศิริแมนชั่น,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.114252,104.91349,"2,500 – 3,200",150 เหมาจ่าย,8,"2,000 – 3,000",6 เดือน,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,095-773-5387,095-773-5387,สุขศิริแมนชั่น ประตู 3 ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,2.8 กิโลเมตร,5.2 กิโลเมตร,1.4 กิโลเมตร,2.9 กิโลเมตร,3.3 กิโลเมตร,ไม่เสี่ยง
